HDI rank,Country,HDI_rank,GDI_18,GDI_Group,HDI_Female,HDI_Male,LE_Female,LE_Male,exp_yrs_scho_F,exp_yrs_scho_M,mean_yrs_scho_F,mean_yrs_scho_M,GNI_F,GNI_M
1,Norway,VH,0.99,1,0.946,0.955,84.3,80.3,18.8,17.4,12.6,12.5,60283,75688
2,Switzerland,VH,0.963,2,0.924,0.959,85.5,81.7,16.1,16.3,12.7,13.6,49275,69649
3,Ireland,VH,0.975,2,0.929,0.953,83.7,80.4,18.9,18.7,12.7,12.3,44921,66583
4,Germany,VH,0.968,2,0.923,0.953,83.6,78.8,17,17.2,13.7,14.6,38470,55649
4,"Hong Kong, China (SAR)",VH,0.963,2,0.919,0.954,87.6,81.8,16.4,16.6,11.6,12.5,43852,79385
6,Australia,VH,0.975,1,0.926,0.949,85.3,81.3,22.6,21.6,12.7,12.6,35900,52359
6,Iceland,VH,0.966,2,0.921,0.954,84.4,81.3,20.4,18,12.3,12.7,39246,55824
8,Sweden,VH,0.982,1,0.928,0.945,84.4,80.9,19.6,18,12.5,12.3,41919,53979
9,Singapore,VH,0.988,1,0.929,0.941,85.6,81.3,16.5,16.1,11.1,12,74600,92163
10,Netherlands,VH,0.967,2,0.916,0.947,83.8,80.4,18.3,17.8,11.9,12.5,40573,59536
11,Denmark,VH,0.98,1,0.92,0.938,82.8,78.8,19.8,18.4,12.7,12.4,41026,56732
12,Finland,VH,0.99,1,0.92,0.929,84.6,78.9,20.1,18.5,12.6,12.3,35066,48689
13,Canada,VH,0.989,1,0.916,0.926,84.3,80.3,16.6,15.6,13.5,13.1,35118,52221
14,New Zealand,VH,0.963,2,0.902,0.936,83.9,80.4,19.7,17.9,12.6,12.8,26754,43745
15,United Kingdom,VH,0.967,2,0.904,0.935,83,79.5,18,17.1,12.9,13,28526,50771
15,United States,VH,0.991,1,0.915,0.923,81.4,76.3,16.9,15.7,13.5,13.4,44465,68061
17,Belgium,VH,0.972,2,0.904,0.931,83.8,79.1,20.6,18.8,11.6,11.9,34928,52927
19,Japan,VH,0.976,1,0.901,0.923,87.5,81.3,15.2,15.3,13,12.6,28784,53384
20,Austria,VH,0.963,2,0.895,0.929,83.8,79,16.6,16,12.3,13,32618,60303
21,Luxembourg,VH,0.97,2,0.893,0.921,84.2,80,14.3,14.1,11.8,12.6,53006,77851
22,Israel,VH,0.972,2,0.891,0.917,84.4,81.1,16.6,15.4,13,13,24616,42792
22,Korea (Republic of),VH,0.934,3,0.87,0.932,85.8,79.7,15.8,16.9,11.5,12.9,23228,50241
24,Slovenia,VH,1.003,1,0.902,0.899,83.9,78.4,18.2,16.7,12.2,12.3,28832,35487
25,Spain,VH,0.981,1,0.882,0.899,86.1,80.7,18.2,17.5,9.7,10,28086,42250
26,Czechia,VH,0.983,1,0.882,0.897,81.8,76.6,17.6,16.1,12.5,13,24114,39327
26,France,VH,0.984,1,0.883,0.897,85.4,79.6,15.8,15.2,11.2,11.6,33002,48510
28,Malta,VH,0.965,2,0.867,0.899,84.1,80.5,16.4,15.4,11,11.6,25023,44518
29,Italy,VH,0.967,2,0.866,0.895,85.4,81.1,16.6,15.9,10,10.5,26471,46360
30,Estonia,VH,1.016,1,0.886,0.872,82.6,74.1,16.8,15.3,13.4,12.6,22999,38653
31,Cyprus,VH,0.983,1,0.865,0.88,82.9,78.7,15.1,14.3,12,12.2,27791,38404
32,Greece,VH,0.963,2,0.854,0.887,84.5,79.6,17.1,17.5,10.3,10.8,19747,30264
32,Poland,VH,1.009,1,0.874,0.867,82.4,74.6,17.3,15.6,12.3,12.3,21876,33739
34,Lithuania,VH,1.028,2,0.88,0.856,81.2,70.1,16.9,16.1,13,13,25665,34560
35,United Arab Emirates,VH,0.965,2,0.832,0.862,79.2,77.1,14.3,13.4,12,9.8,24211,85772
36,Saudi Arabia,VH,0.879,5,0.784,0.892,76.6,73.8,15.8,17.6,9,10.1,18166,72328
36,Slovakia,VH,0.992,1,0.852,0.859,80.8,73.8,15,14.1,12.5,12.7,23683,38045
39,Latvia,VH,1.03,2,0.865,0.84,79.9,70.1,16.7,15.3,13.1,12.5,21857,31520
40,Portugal,VH,0.984,1,0.843,0.856,84.7,78.8,16.2,16.4,9.2,9.2,23627,32738
41,Qatar,VH,1.043,2,0.873,0.837,81.9,79,14.1,11.1,11.1,9.3,57209,127774
42,Chile,VH,0.962,2,0.828,0.86,82.4,77.6,16.8,16.3,10.3,10.6,15211,28933
43,Brunei Darussalam,VH,0.987,1,0.837,0.848,77,74.6,14.8,14,9.1,9.1,65914,86071
43,Hungary,VH,0.984,1,0.836,0.85,80.1,73.1,15.4,14.8,11.7,12.1,21010,33906
45,Bahrain,VH,0.937,3,0.8,0.854,78.3,76.3,16.1,14.7,9.3,9.5,18422,52949
46,Croatia,VH,0.989,1,0.832,0.842,81.5,75.1,15.7,14.3,10.9,12,19441,26960
47,Oman,VH,0.943,3,0.793,0.841,80.1,75.9,15.5,14.1,10.6,9.4,11435,50238
48,Argentina,VH,0.988,1,0.818,0.828,79.9,73.1,18.9,16.4,10.7,10.5,12084,23419
49,Russian Federation,VH,1.015,1,0.828,0.816,77.6,66.9,15.9,15.2,11.9,12.1,19969,30904
50,Belarus,VH,1.01,1,0.82,0.811,79.4,69.4,15.7,15,12.2,12.4,13923,20616
50,Kazakhstan,VH,0.999,1,0.814,0.815,77.3,68.8,15.6,14.9,11.9,11.7,16492,28197
52,Bulgaria,VH,0.993,1,0.812,0.818,78.5,71.4,15,14.6,11.9,11.8,15621,23905
52,Montenegro,VH,0.966,2,0.801,0.829,79.2,74.3,15.3,14.7,10.7,12,14457,20634
52,Romania,VH,0.986,1,0.809,0.821,79.4,72.5,14.6,13.9,10.6,11.3,19487,28569
56,Barbados,VH,1.01,1,0.816,0.808,80.4,77.7,16.6,13.8,10.9,10.3,13686,18292
